id,state,bill_number,haiku_stance,relevance_conf,adjudicator_stance(claude-opus-4-8),adjudicator_conf,adjudicator_rationale,source_url,title,human_verdict
35521,AR,SB-310,weakens,0.95,weakens,0.98,"The bill repeals the Electronic Waste Collection, Recycling, and Reuse Act, eliminating the existing e-waste recycling program.",http://www.arkleg.state.ar.us/assembly/2023/2023R/Pages/BillInformation.aspx?measureno=SB310,"TO REPEAL THE ELECTRONIC WASTE COLLECTION, RECYCLING, AND REUSE ACT.",
35927,ME,LD-1394,weakens,0.95,weakens,0.9,"The bill carves electric vehicles out of certain right-to-repair requirements, narrowing the policy's scope.",https://legislature.maine.gov/LawMakerWeb/dockets.asp?ID=280098059,An Act To Support Maine'S Electric Vehicle Adoption Goals By Providing An Exclusion For Electric Vehicles From Certain Requirements Of The Right To Repair Law,
35983,ME,LD-964,weakens,0.95,weakens,0.85,"Eliminating the paint stewardship assessment defunds the EPR paint product stewardship program's funding mechanism, undermining the policy.",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280086892,An Act To Eliminate The Paint Stewardship Assessment Paid By Consumers,
36348,ME,LD-1564,weakens,0.95,weakens,0.7,"The bill delays implementation of recent improvements to Maine's beverage container redemption (deposit-return) law, postponing strengthening of the circular-economy policy.",https://legislature.maine.gov/LawMakerWeb/sponsors.asp?ID=280098380,An Act To Delay Implementation Of Recent Changes To Maine'S Beverage Container Redemption Law,
36734,CT,SB-57,weakens,0.95,weakens,0.95,"The bill exempts certain beverage containers from the deposit-return (bottle bill) requirements, carving products out of the existing circular-economy policy.",https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB57&which_year=2025,AN ACT EXEMPTING CERTAIN BEVERAGE CONTAINERS FROM THE REQUIREMENTS OF THE BOTTLE BILL.,
36759,CO,HB-25-1330,weakens,0.95,weakens,0.92,"The act carves quantum computing and sensing devices out of Colorado's Consumer Repair Bill of Rights Act, narrowing the scope of right-to-repair coverage.",https://leg.colorado.gov/bills/hb25-1330,Exempting Quantum Computing Equipment Right to Repair,
39332,ME,LD-108,weakens,0.95,weakens,0.97,"The bill repeals Maine's single-use plastic carry-out bag ban, eliminating an existing waste-reduction policy.",https://legislature.maine.gov/LawMakerWeb/subjects.asp?ID=280078053,An Act To Improve Public Safety By Repealing The Single-Use Plastic Carry-Out Bag Ban,
39564,HI,HB-1607,weakens,0.95,weakens,0.98,"The bill repeals Hawaii's deposit beverage container program entirely, eliminating a key deposit-return recycling policy.",http://capitol.hawaii.gov/Archives/measure_indiv_Archives8-12.aspx?billtype=HB&billnumber=1607&year=2020,RELATING TO THE DEPOSIT BEVERAGE CONTAINER PROGRAM.,
39739,HI,HB-2027,weakens,0.95,weakens,0.72,"The bill exempts certain beverage dealers from the obligation to operate a redemption center, carving out entities from the deposit-return program's redemption infrastructure requirements.",http://capitol.hawaii.gov/Archives/measure_indiv_Archives8-12.aspx?billtype=HB&billnumber=2027&year=2020,RELATING TO DEPOSIT BEVERAGE CONTAINERS.,
47795,CO,HB1330,weakens,0.95,weakens,0.9,"The bill carves quantum computing equipment out of the Consumer Repair Bill of Rights Act, narrowing the scope of right-to-repair coverage.",https://leg.colorado.gov/bills/hb25-1330,Exempting Quantum Computing Equipment Right to Repair,
47801,HI,SB2105,weakens,0.95,weakens,0.8,"Repealing mandatory reporting, internal control approval, and biennial independent audit requirements removes oversight and accountability mechanisms that protect the integrity of the deposit beverage container program.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=2105&year=2026,Relating To The Deposit Beverage Container Program.,
47802,HI,HB1610,weakens,0.95,weakens,0.62,"The bill reduces reporting and oversight obligations by limiting which redemption centers must submit distribution reports and repealing the internal-control-process and independent-audit requirements for distributors, narrowing the program's compliance scope.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1610&year=2026,Relating To The Deposit Beverage Container Program.,
47804,IA,HF809,weakens,0.95,weakens,0.98,"The bill repeals Iowa's beverage container deposit-return program, eliminating an established circular-economy policy.",https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF809,"A bill for an act providing for the repeal of the beverage containers control program, and including effective date provisions.",
33708,TX,HB-5203,weakens,0.85,weakens,0.6,"The bill broadly preempts municipal and county regulation, which would newly bar local authority to enact circular-economy ordinances like recycling, composting, or product stewardship rules.",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB5203,Relating to state preemption of certain municipal and county regulation.,
33773,OR,HB-3432,weakens,0.85,weakens,0.8,The bill narrows the deposit-return redemption obligation by allowing wineries to refuse redemption for containers not sold there.,https://olis.oregonlegislature.gov/liz/2025R1/Measures/Overview/HB3432,Relating to the redemption of beverage containers at wineries.,
34454,TX,HB-5612,weakens,0.85,weakens,0.6,"A broad state preemption of municipal and county regulation would newly block local authority to enact circular-economy measures like bag bans, recycling, or organics ordinances.",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB5612,Relating to state preemption of certain municipal and county regulation.,
34867,TX,HB-2127,weakens,0.85,weakens,0.85,"This broad 'Death Star' preemption bill bars municipalities and counties from enacting local regulations in fields covered by state codes, stripping local authority to adopt circular-economy measures like organics, recycling, or product-stewardship ordinances.",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=88&Bill=HB2127,Relating to state preemption of and the effect of certain state or federal law on certain municipal and county regulation.,
35239,MT,HB-26,weakens,0.85,weakens,0.85,"The bill repeals the mercury thermostat collection act, eliminating an existing product stewardship/take-back program.",https://bills.legmt.gov/#/laws/bill/2/LC0542?open_tab=sum,Repeal mercury thermostat collection act,
35452,TX,SB-2858,weakens,0.85,weakens,0.7,"The bill broadens state preemption of municipal and county regulation, newly limiting local authority to enact ordinances such as bag bans, recycling, or composting requirements.",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB2858,Relating to state preemption of certain municipal and county regulation.,
35692,HI,HB-2196,weakens,0.85,weakens,0.85,"The bill repeals Hawaii's Deposit Beverage Container (deposit-return) program, eliminating an established circular-economy recycling mechanism despite redirecting funds toward solar/EV battery recycling.",https://capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=2196&year=2026,RELATING TO THE ENVIRONMENT.,
35715,TX,SB-814,weakens,0.85,weakens,0.7,"The bill establishes state preemption of municipal and county regulation, newly limiting local authority to enact ordinances including potential circular-economy measures.",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=88&Bill=SB814,Relating to state preemption of certain municipal and county regulation.,
36299,CT,HB-5674,weakens,0.85,weakens,0.95,"The bill repeals Connecticut's bottle bill (deposit-return system), replacing it with general mandatory recycling, which dismantles the existing container redemption policy.",https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB5674&which_year=2025,AN ACT REPEALING THE BOTTLE BILL AND PROVIDING FOR THE MANDATORY RECYCLING OF SUCH BEVERAGE CONTAINERS.,
38823,ME,LD-244,weakens,0.85,weakens,0.97,"The bill repeals Maine's single-use plastic bag law, eliminating an existing circular-economy waste-reduction policy.",https://legislature.maine.gov/LawMakerWeb/sponsors.asp?ID=280078336,An Act To Repeal Maine'S Single-Use Plastic Bag Law,
38960,CA,SB-1232,weakens,0.85,weakens,0.75,"The bill creates additional allowances for manufacturers to make 'biodegradable' claims, broadening permissible labeling and loosening the existing strict standards governing such environmental marketing claims.",http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB1232,Solid waste: products: labeling: biodegradability.,
33467,IL,SB-4209,weakens,0.75,weakens,0.7,"The bill removes provisions requiring all offering collection sites to count toward minimums and mandating coordination of multiple proposals to ensure collection-site coverage, narrowing the drug take-back program's collection-access requirements.",https://ilga.gov/legislation/BillStatus.asp?DocNum=4209&GAID=16&DocTypeID=SB&LegId=140964&SessionID=110&GA=102,DRUG TAKE-BACK ACT,
35038,TX,HB-103,weakens,0.75,weakens,0.7,"By broadly preempting municipal and county regulation, the bill removes local authority to enact circular-economy measures like bag bans or recycling ordinances.",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=891&Bill=HB103,Relating to state preemption of certain municipal and county regulation.,
35182,TX,HB-72,weakens,0.75,weakens,0.7,"A broad state preemption of municipal and county regulation would strip local authority to enact circular-economy measures like bag bans, recycling mandates, or organics ordinances.",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=HB72,Relating to state preemption of certain municipal and county regulation.,
35598,IL,SB-1426,weakens,0.75,weakens,0.7,"The bill removes provisions ensuring maximum collection site participation and coordinated coverage across drug take-back programs, narrowing the program's reach and effectiveness.",https://beta.ilga.gov/Legislation/BillStatus?DocNum=1426&GAID=17&DocTypeID=SB&LegId=146113&SessionID=112,DRUG TAKE-BACK PROGRAM,
36319,FL,HB-575,weakens,0.75,weakens,0.85,"The bill preempts local regulation of auxiliary containers to the state, removing municipalities' authority to enact bans or restrictions despite some state-level container limits on park lands.",https://flsenate.gov/Session/Bill/2026/575/ByCategory,Auxiliary Containers,
36750,ME,LD-425,weakens,0.75,weakens,0.97,"The bill repeals Maine's ban on single-use plastic shopping bags, reversing a waste-reduction circular-economy policy.",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085775,"An Act To Lower The Environmental Impact Of Consumers, Increase Food Safety And Strengthen Consumer Choice By Ending The Ban On Single-Use Plastic Shopping Bags",
36789,IN,HB-1416,weakens,0.75,weakens,0.8,"The bill broadly preempts local ordinances in fields occupied by state code, removing local authority to enact circular-economy measures like bans, recycling, or product-stewardship rules.",https://iga.in.gov/legislative/2026/bills/house/1416,Preemption of local regulation.,
